Rank,Runtime,Genre,Rating,Metascore,Gross_Earning_in_Mil
1,143,Action,7.2,55,335.06
2,149,Action,8.5,68,678.82
3,117,Animation,8.5,87,190.24
4,116,Crime,7.1,58,103.8
5,114,Action,6.9,66,127.2
6,86,Horror,5.7,66,0.03
7,113,Adventure,6.7,75,0.33
9,134,Biography,8.1,49,216.25
10,130,Biography,8.3,69,84.93
11,136,Drama,7.8,88,215.29
12,132,Biography,7.2,61,47.84
13,130,Comedy,7,66,171.96
14,134,Adventure,6.7,52,159.56
16,121,Action,6.3,62,1.53
17,123,Drama,7.8,64,8.12
18,128,Action,6.2,44,15.95
19,90,Drama,7.6,82,188.02
20,119,Action,7.8,66,324.59
22,112,Action,6.8,35,213.52
23,96,Horror,5.4,46,117.44
24,134,Action,7.3,88,700.06
25,118,Animation,7.7,80,608.58
26,114,Comedy,6.8,60,120.63
27,120,Biography,6.8,59,24.62
28,119,Biography,7.7,90,34.24
29,90,Adventure,3.7,24,30.57
31,113,Action,5.7,46,145.44
32,116,Biography,6,40,10.76
33,118,Comedy,7.4,57,67.36
34,118,Action,7.1,70,216.65
35,127,Drama,7.3,87,44.07
36,152,Fantasy,6.9,64,2.47
37,112,Animation,7.1,71,201.09
38,128,Action,6.2,51,417.72
40,135,Action,7,62,213.77
41,130,Drama,7.3,66,115.72
42,140,Action,7.5,64,137.69
43,129,Crime,7,84,42.4
44,116,Action,5.3,32,30.82
45,135,Biography,7.5,83,48.69
46,99,Drama,7,72,0.01
48,120,Drama,5.8,48,0.05
50,147,Action,7.8,86,220.16
51,100,Comedy,6.6,56,54.55
52,110,Action,6.2,61,139.38
53,134,Drama,6,69,0.04
54,122,Adventure,7,78,3.14
55,92,Drama,6.2,59,0.05
57,117,Comedy,6.9,67,53.54
58,110,Action,6.7,60,21.7
59,117,Action,6,52,33.56
60,141,Crime,7.1,60,17.84
61,115,Adventure,6.9,79,32.73
63,124,Biography,6.3,60,16.47
64,118,Biography,6.5,48,0.25
65,94,Action,6.1,58,6.71
66,104,Animation,7.3,60,99.22
67,141,Biography,7.4,84,44.94
68,120,Comedy,7,74,174.53
69,122,Action,7.1,61,50.07
70,85,Comedy,7.4,66,7.36
71,107,Action,6.5,73,0.09
74,103,Comedy,5.8,46,39.28
78,119,Drama,7.3,87,14.92
79,98,Biography,7.3,75,5.45
80,102,Action,5.8,51,67.8
81,97,Drama,7.3,67,0.8
82,98,Drama,6.2,54,10.52
84,100,Action,7,66,69
85,107,Drama,5.4,19,4.05
86,106,Horror,6.7,67,159.34
90,122,Action,6.6,43,15.77
91,140,Action,6.6,53,46.87
92,121,Action,6.6,81,1.21
93,152,Crime,6.9,42,0.09
94,126,Drama,8.4,75,1.63
96,102,Comedy,6.8,80,5.36
97,107,Action,5.4,48,51.02
98,119,Drama,6.5,47,0.43
