Region;count_2017
Belgorod;823
Bryansk;612
Vladimir;730
Voronezh;1176
Ivanovo;542
Kaluga;538
Kostroma;326
Kostroma;571
Lipetsk;598
Moskva;4076
Orel;378
Ryazan';539
Smolensk;521
Tambov;516
Tver';686
Tula;791
Yaroslavl';668
Moscow City;7186
Karelia;318
Komi;444
Arkhangel'sk;589
Nenets;22
Vologda;585
Kaliningrad;519
Leningrad;988
Murmansk;439
Novgorod;315
Pskov;319
City of St. Petersburg;3041
Adygey;200
Kalmyk;140
Krasnodar;2777
Astrakhan';536
Volgograd;1270
Rostov;2138
Dagestan;1360
Ingush;251
Kabardin-Balkar;433
Karachay-Cherkess;210
North Ossetia;333
Chechnya;621
Stavropol';1352
Bashkortostan;1993
Mariy-El;347
Mordovia;435
Tatarstan;2039
Udmurt;789
Chuvash;626
Perm';1280
Kirov;671
Nizhegorod;1771
Orenburg;1003
Penza;673
Samara;1718
Saratov;1200
Ul'yanovsk;641
Kurgan;402
Sverdlovsk;2175
Tyumen';1948
Khanty-Mansiy;917
Yamal-Nenets;313
Chelyabinsk;1860
Altay;98
Buryat;441
Tuva;126
Khakass;259
Gorno-Altay;1131
Zabaykal'ye;535
Krasnoyarsk;1494
Irkutsk;1209
Kemerovo;1337
Novosibirsk;1428
Omsk;1029
Tomsk;533
Sakha;498
Kamchatka;179
Primor'ye;1036
Khabarovsk;733
Amur;414
Maga Buryatdan;91
Sakhalin;276
Yevrey;82
Chukot;31
;
;
;
;
;
;
